timestamp   actual_x   actual_y     actual_t    x_estimate    y_estimate   t_estimate   x_mes  y_mes  t_mes 
0.05 1.35316 2.0995 2.02515 1.38026 2.10857 2.07454 1.31765 2.02438 2.12958 0.196457
0.05 1.3422 2.1171 2.04072 1.3657 2.11871 2.11164 1.32918 2.04585 2.16154 0.197844
0.05 1.33283 2.13161 2.05363 1.36398 2.14066 2.10106 1.42533 2.205 2.05098 0.19566
0.05 1.32326 2.14596 2.0668 1.35106 2.15489 2.09823 1.30738 2.14654 2.06297 0.196644
0.051 1.31353 2.1602 2.08001 1.34132 2.16135 2.09963 1.32845 2.07938 2.07182 0.210631
0.049 1.30563 2.17146 2.09033 1.33978 2.16796 2.09271 1.38671 2.11541 2.05367 0.207655
0.05 1.2936 2.18827 2.10578 1.33351 2.18078 2.08744 1.36615 2.12896 2.03946 0.211606
0.05 1.28335 2.2021 2.11874 1.31886 2.19242 2.14089 1.27171 2.1672 2.23225 0.211606
0.05 1.27498 2.21315 2.12905 1.31118 2.21552 2.16953 1.31366 2.32685 2.21401 0.197012
0.05 1.26225 2.22947 2.14443 1.29553 2.21784 2.17801 1.25656 2.07657 2.16093 0.200275
0.05 1.25144 2.24296 2.15736 1.27595 2.23362 2.15565 1.1749 2.24295 2.07453 0.197896
0.05 1.24046 2.25625 2.17054 1.27004 2.24452 2.17242 1.30521 2.21208 2.18105 0.212013
0.05 1.23155 2.2668 2.18082 1.24252 2.24304 2.16279 1.05165 2.11823 2.11195 0.212013
0.05 1.21803 2.28247 2.19609 1.23839 2.25246 2.16416 1.30524 2.1763 2.1333 0.201827
0.05 1.20657 2.29533 2.20922 1.23081 2.25938 2.15989 1.24612 2.18652 2.12145 0.198345
0.05 1.19726 2.30551 2.21958 1.22362 2.28066 2.17106 1.22794 2.37392 2.17366 0.212811
0.051 1.1831 2.32059 2.23511 1.20883 2.30784 2.22359 1.18879 2.41041 2.30874 0.212811
0.049 1.17118 2.333 2.24811 1.20884 2.32522 2.2196 1.30364 2.35713 2.18442 0.199369
0.05 1.15908 2.34519 2.26129 1.1855 2.33927 2.27359 1.07308 2.35065 2.36563 0.211473
0.05 1.14679 2.35728 2.2743 1.17739 2.35105 2.33862 1.21887 2.34757 2.45837 0.211473
0.051 1.13683 2.36684 2.28483 1.16198 2.34685 2.30793 1.09832 2.2056 2.21211 0.199705
0.049 1.12171 2.38097 2.30041 1.13748 2.36557 2.31636 1.03562 2.39678 2.3002 0.201314
0.051 1.11154 2.39019 2.31112 1.14895 2.38605 2.3079 1.34126 2.48051 2.26887 0.211961
0.049 1.09605 2.40391 2.32727 1.15064 2.40733 2.29579 1.29158 2.45731 2.23451 0.215275
0.05 1.08295 2.41518 2.3401 1.15457 2.43005 2.28058 1.29336 2.51654 2.21901 0.213524
0.05 1.06976 2.42623 2.35347 1.14253 2.44574 2.30677 1.13766 2.47346 2.3369 0.213524
0.05 1.05642 2.43713 2.36653 1.1248 2.45283 2.34203 1.07171 2.40364 2.39117 0.21227
0.05 1.04293 2.4478 2.37998 1.10369 2.44896 2.34725 1.01601 2.29394 2.32543 0.21227
0.05 1.03206 2.45622 2.39034 1.09194 2.46367 2.35347 1.07083 2.50949 2.34391 0.213731
0.05 1.01555 2.46864 2.40594 1.04943 2.4749 2.35982 0.782638 2.4413 2.33318 0.213731
0.05 1.00164 2.4788 2.41895 1.03917 2.48552 2.36565 1.05623 2.46944 2.34881 0.21331
0.05 0.987651 2.48883 2.43199 1.02672 2.48674 2.36653 1.02284 2.3813 2.33673 0.212542
0.05 0.973535 2.49866 2.44511 1.00067 2.50158 2.38294 0.870842 2.52934 2.38892 0.212542
0.051 0.962055 2.50641 2.45558 0.992507 2.50006 2.4204 1.01617 2.40071 2.481 0.211974
0.049 0.944823 2.51772 2.4712 0.991656 2.52416 2.45225 1.13346 2.62685 2.49322 0.211974
0.05 0.930298 2.52699 2.48444 0.980557 2.54745 2.47777 1.00354 2.66721 2.50885 0.210154
0.05 0.915669 2.53601 2.49788 0.951699 2.56403 2.50112 0.808371 2.62372 2.52399 0.209486
0.05 0.900884 2.54493 2.51069 0.937716 2.5628 2.49953 0.933979 2.44996 2.46416 0.209486
0.051 0.886023 2.55367 2.5235 0.928106 2.57498 2.47515 0.960926 2.58359 2.39221 0.195374
0.049 0.87105 2.56217 2.53665 0.888998 2.57875 2.53328 0.655249 2.52537 2.63298 0.208268
0.05 0.855982 2.57049 2.54946 0.861762 2.5936 2.53871 0.735897 2.63969 2.52071 0.209065
0.051 0.840764 2.57862 2.56277 0.839064 2.59293 2.54273 0.7573 2.49197 2.51938 0.209359
0.049 0.828559 2.58493 2.5732 0.823452 2.61671 2.5371 0.779905 2.76507 2.5025 0.209359
0.05 0.81006 2.59423 2.58875 0.823872 2.62647 2.57232 0.993225 2.61211 2.62113 0.199222
0.05 0.794628 2.60177 2.60142 0.815678 2.63139 2.5971 0.87755 2.59344 2.6266 0.194264
0.05 0.778986 2.60912 2.61415 0.807309 2.64391 2.62355 0.870505 2.68124 2.65808 0.194345
0.05 0.763338 2.61622 2.62717 0.785036 2.65313 2.64971 0.717486 2.66359 2.67991 0.20667
0.05 0.747479 2.62318 2.63986 0.760593 2.65702 2.70349 0.680034 2.62756 2.79588 0.20667
0.05 0.734724 2.62861 2.65014 0.739375 2.67008 2.74319 0.660934 2.74571 2.81143 0.20528
0.051 0.715508 2.63653 2.66529 0.728668 2.67079 2.7151 0.803094 2.58862 2.61471 0.20528
0.049 0.699426 2.64295 2.6776 0.733664 2.68264 2.71008 0.928343 2.72161 2.67381 0.193137
0.05 0.686539 2.6479 2.68781 0.715137 2.71052 2.69391 0.65451 2.91323 2.6382 0.193337
0.05 0.667086 2.65507 2.70316 0.683227 2.71996 2.67493 0.553092 2.71512 2.59686 0.195143
0.05 0.650787 2.6608 2.71575 0.670894 2.71958 2.68597 0.700432 2.64213 2.68278 0.192123
0.05 0.637701 2.66527 2.72581 0.645289 2.72495 2.73661 0.525249 2.72918 2.82998 0.191327
0.05 0.617966 2.67169 2.74105 0.622906 2.73524 2.7446 0.590571 2.75345 2.72991 0.194303
0.05 0.601567 2.67675 2.75386 0.605322 2.73159 2.7364 0.58623 2.62841 2.68621 0.206229
